Date of Cartoon,Title,Major Subject
"Wednesday, February 12, 1947",Football,Truman Administration
"Thursday, February 13, 1947","""Hey!""",Truman Administration
"Friday, February 14, 1947",Out Of The Woodwork,Congress
"Saturday, February 15, 1947","""Him Give People Magic -- Not Good For People To Have Magic!""",Truman Administration
"Sunday, February 16, 1947",Tight Little Isle,Great Britain
"Monday, February 17, 1947","""Now, That's As Tall As You're Supposed To Be""",Congress
"Tuesday, February 18, 1947","""I Did It With My Little Hatchet""",Congress
"Wednesday, February 19, 1947",Prometheus,Truman Administration
"Thursday, February 20, 1947","""Does The Fly Come With It?""",Labor
"Friday, February 21, 1947","""Think Hard, Now -- Try To Remember""",Republican Party
"Saturday, February 22, 1947","""You're Going To Hold Down The Budget -- That's Nice""",Congress
"Sunday, February 23, 1947","""Ya Gotta Be Smarter Than The Law""",Georgia
"Monday, February 24, 1947",Mr. Taft Shoots His Bolt,Truman Administration
"Tuesday, February 25, 1947","""They Want Us To Cooperate Better""",Congress
"Wednesday, February 26, 1947","""Adios, Muchachos""",Congress
"Thursday, February 27, 1947","""I Keep Thinking I See Footprints""",Truman Administration
"Friday, February 28, 1947","""Eeny, Meeny, Miney, Mo""",Congress
"Saturday, March 1, 1947","""Oh, My Darling Clementine""",Labor
"Sunday, March 2, 1947",Main Bout,Post-Second World War World Order
"Monday, March 3, 1947","""Heard Any Good Radio Programs Lately?""",Post-Second World War World Order
"Tuesday, March 4, 1947","""You Looking For A Communist Organizer, Mister?""",Congress
"Wednesday, March 5, 1947","""Ruffian!""",Senate
"Thursday, March 6, 1947","""Unh Unh -- It Ain't In The Budget""",Congress
"Friday, March 7, 1947","""The Operation Is Over -- Run Along, Now""",Post-Second World War World Order
"Saturday, March 8, 1947",[Untitled],World Stability
"Sunday, March 9, 1947","""Put Me In, Coach! Put Me In!""",World Stability
"Monday, March 10, 1947","""I Hear Things Are Getting Pretty Critical""",Congress
"Tuesday, March 11, 1947","""You Tell 'Em, Kid -- I'm A Sovereign Power Myself""",World Stability
"Wednesday, March 12, 1947","""Pretty Rough Stretch Here, Eh, Driver?""",World Stability
"Thursday, March 13, 1947","""I'm Here To Stay, Too""",World Stability
"Friday, March 14, 1947","""Remember, This Is For Him""",Truman Administration
"Saturday, March 15, 1947","""You're Sure You'll Send For Me As Soon As Possible?""",Truman Administration
"Sunday, March 16, 1947","""Remember When There Used To Be Far-Away Places?""",Congress
"Monday, March 17, 1947","""I Thought I Told You To Stay Down""",Congress
"Tuesday, March 18, 1947",Big Four Conference,Post-Second World War World Order
"Wednesday, March 19, 1947",[Untitled],World Stability
"Thursday, March 20, 1947","""You My New Daddy?""",Georgia
"Friday, March 21, 1947","""I Do Believe,"" Said Alice At Last, ""That They Live In The Same House!""",Post-Second World War World Order
"Saturday, March 22, 1947","""When Do You Think I Can Go Out By Myself?""",United Nations
"Sunday, March 23, 1947","""Here We Go Round The Mulberry Bush""",World Stability
"Monday, March 24, 1947","""Now To Separate Them""",Congress
"Tuesday, March 25, 1947","""See -- I'm Upholding American Government""",Congress
"Wednesday, March 26, 1947","""Couldn't We Make Better Time Driving Forward?""",Congress
"Thursday, March 27, 1947","""You Belong To An International Organization?""",Congress
"Friday, March 28, 1947","""I Said I'd Cut The Grass Come Hell Or High Water""",Congress
"Saturday, March 29, 1947","""I Thought Your Friend Couldn't Stay Long""",US Economy
"Sunday, March 30, 1947","""Has He Stopped Breathing Yet?""",Senate
"Monday, March 31, 1947","Sweet, Sweet Music",Congress
"Tuesday, April 1, 1947","""I Call My Men Out Every Month""",Coal Industry
"Wednesday, April 2, 1947","""Do They Go With The Robes, Your Majesty?""",Greece
"Thursday, April 3, 1947","""You Think It's Good For A Loan, Boss?""",Spain
"Friday, April 4, 1947",The Bedfellow Traveler,World Stability
"Saturday, April 5, 1947",Hand-Washing Ceremony,Coal Industry
"Sunday, April 6, 1947","""It's All Right -- I've Got Him On A Leash""",Congress
"Monday, April 7, 1947","""I'm Sitting On Top Of The World""",US Economy
"Tuesday, April 8, 1947","""Come In! Come In!""",Congress
"Wednesday, April 9, 1947","""What Are You Doing After The Trial, Baby?""",Post-Second World War World Order
"Thursday, April 10, 1947","""Tut Tut -- Drive On""",US Economy
"Friday, April 11, 1947","""95 -- 96 -- 97 -- 98""",US Economy
"Saturday, April 12, 1947",Ballet In Moscow,Post-Second World War World Order
"Sunday, April 13, 1947",The Wayward Bus,Congress
"Monday, April 14, 1947","""How Are You Coming With That Atomic Power?""",Coal Industry
"Tuesday, April 15, 1947","""Excited? Excited? Who's Excited!""","Wallace, Henry A"
"Wednesday, April 16, 1947",New Design For Veterans' Housing,Congress
"Thursday, April 17, 1947",Big Four Peace Layout,Post-Second World War World Order
"Friday, April 18, 1947","""Ho Hum -- Care To Read The Paper?""",United Nations
"Saturday, April 19, 1947","""We Just Want A Washing Machine""",Congress
"Sunday, April 20, 1947","""Don't Bother Me With Details, M'Boy -- Just Keep Flying""",US Economy
"Monday, April 21, 1947","""I Seem To Be Getting Smaller And Smaller""",US Economy
"Tuesday, April 22, 1947",Industrial Pattern,Labor
"Wednesday, April 23, 1947","""Champagne For Everybody!""",Congress
"Thursday, April 24, 1947","""How's That Again? You Talking To Me, Boy?""",Cold War
"Friday, April 25, 1947",Ajax Defying The Lightning,US Economy
"Saturday, April 26, 1947","""Blow Real Hard, Now""",United Nations
"Sunday, April 27, 1947",Iron Curtain,Cold War
"Monday, April 28, 1947","""Brother, Can You Spare The Time?""",Congress
"Tuesday, April 29, 1947",One More Spring,World Stability
"Wednesday, April 30, 1947",[Untitled],Schools
"Thursday, May 1, 1947",Patience,Cold War
"Friday, May 2, 1947","""Oops -- Sorry""",World Stability
"Saturday, May 3, 1947","""Always Remember, Pal -- I'm For You""",Congress
"Sunday, May 4, 1947",Counting The Gains,Congress
"Monday, May 5, 1947","""What -- Stew Again?""",Congress
"Tuesday, May 6, 1947",[Untitled],Congress
"Wednesday, May 7, 1947","""Cat Got Your Tongue?""",Cold War
"Thursday, May 8, 1947","""They're Just Kids -- They Won't Know The Difference""",Congress
"Friday, May 9, 1947","""Whatsamatter -- You Going Soft?""",Congress
"Saturday, May 10, 1947","""Are You Kidding?""",Truman Administration
"Sunday, May 11, 1947",Brave New World,World Stability
"Monday, May 12, 1947","""You Don't Say! They Have 'Em, Too, Eh?""",Congress
"Tuesday, May 13, 1947","""Just Leave It In The Mailbox, Lady""",Truman Administration
"Wednesday, May 14, 1947","""Well, Chum -- This Is It""",Congress
"Thursday, May 15, 1947","""Too Bad You Ain't The Voice Of Snowy-Suds""",Congress
"Friday, May 16, 1947","""They Say He's Very Prosperous""",Truman Administration
"Saturday, May 17, 1947","""Don't Wave That Red Flag At Me, You Communist!""",US Economy
"Sunday, May 18, 1947",The Great Drought,World Stability
"Monday, May 19, 1947","""Oh Boy -- A Spotlight!""",House Un-American Activities Committee
"Tuesday, May 20, 1947","""Yessir -- A Fine Piece Of Land For Planting""",US Economy
"Wednesday, May 21, 1947","""See? Everything All Tied Up Together""",Congress
"Thursday, May 22, 1947","""But I'm Hungry!""",World Stability
"Friday, May 23, 1947","""Not Guilty""",White on Black Violence
"Saturday, May 24, 1947","""Up, Jumbo, Up!""",Congress
"Sunday, May 25, 1947","""Go Back! Wrong Boat!""",Daughters of the American Revolution
"Monday, May 26, 1947","""Something Seems To Be Stunting His Growth""",United Nations
"Tuesday, May 27, 1947","""Now I'll Roll You For Next Year's Pay""",US Economy
"Wednesday, May 28, 1947","""Do You Notice A Kind Of List?""",World Stability
"Thursday, May 29, 1947",Mary Had A Little Lamb,World Stability
"Friday, May 30, 1947","Ol' Man Congress, He Jes' Keeps Rollin' Along",Congress
"Saturday, May 31, 1947","""How Are Things In Nicaragua?""",Truman Administration
"Sunday, June 1, 1947","""I Don't See Any Danger Of Fascism""",House Un-American Activities Committee
"Monday, June 2, 1947",Reading The Minutes,United Nations
"Tuesday, June 3, 1947","""Now, That's Real Art -- Almost Like A Photograph""",Congress
"Wednesday, June 4, 1947","""Wait Till He Gets This One!""",Congress
"Thursday, June 5, 1947",Sheepskin,Congress
"Friday, June 6, 1947","""Why Don't You Go Back Where You Came From?""",Congress
"Saturday, June 7, 1947","""Hey! What Am I Planting Here?""",Truman Administration
"Sunday, June 8, 1947","""Maybe You Shouldn't Have Sunk It So Soon""",Truman Administration
"Monday, June 9, 1947","""Got Any Ideas?""",World Stability
"Tuesday, June 10, 1947","""It's Okay, Pal -- Your Typing Won't Bother Me A Bit""","Congressional Elections, 1948"
"Wednesday, June 11, 1947",Down The River,Congress
"Thursday, June 12, 1947",Everybody Talkin' 'Bout Heaven Ain't Going' There,Post-Second World War World Order
"Friday, June 13, 1947",Arsenic And Old Lace,Congress
"Saturday, June 14, 1947","""Come, Come, Lad -- You Can't Stop There""",Congress
"Sunday, June 15, 1947","""He'll See You In November, 1948""",Congress
"Monday, June 16, 1947","""Up, Up, Up And Away!""",US Economy
"Tuesday, June 17, 1947","""Don't You Know There's A Housing Shortage Here?""",Congress
"Wednesday, June 18, 1947","""Say, You're In A Tough Spot There""",US Economy
"Thursday, June 19, 1947","""The Gasp You Just Heard Was The Voice Of America""",Congress
"Friday, June 20, 1947","""Okay -- Step On The Starter""",Truman Administration
"Saturday, June 21, 1947","""Oops!""",Congress
"Sunday, June 22, 1947","""See Any Communist Supporters Around?""",Congress
"Monday, June 23, 1947","""Three O'Clock Yet?""",Congress
"Tuesday, June 24, 1947","""Pooh -- I'm In 1948 Already!""","Congressional Elections, 1948"
"Wednesday, June 25, 1947",The New Good Neighbor Policy,Truman Administration
"Thursday, June 26, 1947","""Think He Looks Okay Now?""",Congress
"Friday, June 27, 1947","""I'm Another One Of The Old 1929 Crowd, Pal""",Congress
"Saturday, June 28, 1947",The New Map Of Europe,Post-Second World War World Order
"Sunday, June 29, 1947","""Think It's Okay To Go To The Fire?""",World Stability
"Monday, June 30, 1947","""You Might Be A Displaced Person Yourself Next Year""",Congress
"Tuesday, July 1, 1947","""Does Macy's Tell Gimbel's""",Washington DC
"Wednesday, July 2, 1947","""Et Tu, Robert?""",Congress
"Thursday, July 3, 1947","""Oh, Goodness -- We're Not That Much Interested!""",Congress
"Friday, July 4, 1947","""How'm I Doin'?""",World Stability
"Saturday, July 5, 1947",Molotov Cocktail,World Stability
"Sunday, July 6, 1947","""I'm Counting On Him, Too""",Congress
"Monday, July 7, 1947","""This Rocket Travel Sure Beats Flying""",US Economy
"Tuesday, July 8, 1947","""And So Beautifully Packed!""",Spain
"Wednesday, July 9, 1947",[Untitled],Roswell Incident
"Thursday, July 10, 1947","""Sh! After A While They'll Go Away""",Congress
"Friday, July 11, 1947","""I Just Bored A Few Little Loopholes In It""",Congress
"Saturday, July 12, 1947",Open Door,World Stability
"Sunday, July 13, 1947","""Don't Mind Me -- Keep Right On Working""",Truman Administration
"Monday, July 14, 1947","""Next Stop, Wyoming -- 9 Votes""","Presidential Election, 1948"
"Tuesday, July 15, 1947",Profit And Loss,Truman Administration
"Wednesday, July 16, 1947","""You Say You See Flying Secrets?""",House Un-American Activities Committee
"Thursday, July 17, 1947",Government By Blackjack,Congress
"Friday, July 18, 1947",Lady Or The Tiger,Congress
"Saturday, July 19, 1947","""Where You Going On Your Investigation This Year?""",Congress
"Sunday, July 20, 1947","""All Set?""",Congress
"Monday, July 21, 1947","""Well, So Long -- Here Comes My Train""",Congress
"Tuesday, July 22, 1947","""Open Up That Golden Gate!""","Presidential Election, 1948"
"Wednesday, July 23, 1947","""I Still Don't Like It""",Congress
"Thursday, July 24, 1947",Loyalty Test,Truman Administration
"Friday, July 25, 1947",Haunted House,Congress
"Saturday, July 26, 1947","""Want A Nice Fur Piece, Pal?""",US Economy
"Sunday, July 27, 1947",[Untitled],"Presidential Election, 1948"
"Monday, July 28, 1947","""You're Connected With Infra-Red Rays, Ain't You?""",House Un-American Activities Committee
"Tuesday, July 29, 1947",Coal Bucket,Europe
"Wednesday, July 30, 1947","""Let's Buy A Cheap Car And Tour The Country""",Congress
"Thursday, July 31, 1947",-- But Don't Go Near The Water,United Nations
"Friday, August 1, 1947","""Come In -- The Water's Fine!""",Senate
"Saturday, August 2, 1947","""Need Any Office Equipment?""",Truman Administration
"Sunday, August 3, 1947",She Must Have Just Climbed Up By Herself,US Economy
"Monday, August 4, 1947","""I Think You Might Be Interested In This""",World Economy
"Tuesday, August 5, 1947",Bottom Of The Barrel,Great Britain
"Wednesday, August 6, 1947","""Remember When I Was Tiny And You Used to Hold Me?""",World Stability
"Thursday, August 7, 1947","I Shot An Arrow Into The Air, It Fell To Earth, I Knew Not Where",Senate
"Friday, August 8, 1947","""Once More Unto The Breach, Dear Friends, Once More""",Great Britain
"Saturday, August 9, 1947","""It Looks Kinda Funny To Me""",Congress
"Sunday, August 10, 1947",Round-The-World Trip,World Stability
"Monday, August 11, 1947","""Warm, Isn't It?""",World Stability
"Tuesday, August 12, 1947",[Untitled],Senate
"Wednesday, August 13, 1947","""One Side, Bub -- I'm Just Getting Up Steam""",US Economy
"Thursday, August 14, 1947","""Mind If I Work On This Mystery, Too?""",Congress
"Friday, August 15, 1947","""Redcoats, See? Burning The Capitol! In Technicolor!""",US Economy
"Saturday, August 16, 1947","""You Folks Hear Any Talk About A Housing Shortage?""",Congress
"Monday, August 18, 1947","""I've Seen That Guy Somewhere Before""",World Stability
"Tuesday, August 19, 1947","""Ever Feel As If You Were Only Half There?""",Post-Second World War World Order
"Wednesday, August 20, 1947","""I Thought You Didn't Like Price Controls""",US Economy
"Thursday, August 21, 1947","""Aren't You Kind Of Running It Into The Ground?""",United Nations
"Friday, August 22, 1947",Bundle From Heaven,Congress
"Saturday, August 23, 1947","""Somehow, I Thought It Would Be Different""",Post-Second World War World Order
"Sunday, August 24, 1947","""Oh, No! Not You Again!""",Senate
"Monday, August 25, 1947","""What A Curious Feeling!"" Said Alice. ""I Must Be Shutting Up Like A Telescope!""",US Economy
"Tuesday, August 26, 1947","""What Did You Do With All That Money, Anyhow?""",US Economy
