Date of Cartoon,Title,Major Subject
"Thursday, February 5, 1959","""It's Very Simple -- We're So Far Ahead Of Them That In A Couple Of Years We Might Catch Up""",Eisenhower Administration
"Friday, February 6, 1959","""Ouch!""",Eisenhower Administration
"Sunday, February 8, 1959","""Don't Forget To Fasten Your Money Belt""",Eisenhower Administration
"Monday, February 9, 1959",Underdeveloped Areas,Eisenhower Administration
"Tuesday, February 10, 1959","""There Seems To Be Some Kind Of Fallout""",Eisenhower Administration
"Wednesday, February 11, 1959","""It's Not The Principle -- It's The Money""",Eisenhower Administration
"Thursday, February 12, 1959","""How About A Push, Pal?""",Eisenhower Administration
"Friday, February 13, 1959","""Don't Look Now But I Think We're Being Followed""",Eisenhower Administration
"Sunday, February 15, 1959","""Great Scott, Man -- That's Inflationary""",Eisenhower Administration
"Monday, February 16, 1959","""He's Still Filling the Seat -- in a Way""",Congress
"Tuesday, February 17, 1959",Foreign Policy Decision,Eisenhower Administration
"Wednesday, February 18, 1959","""Wear It Proudly""","Nixon, Richard"
"Thursday, February 19, 1959","""These May Be A Little Harder To Execute""",Cuba
"Friday, February 20, 1959","""You Mean There Are Other Crimes Connected With Them?""",Senate
"Sunday, February 22, 1959","""You Didn't Bring An Umbrella?""",Cold War
"Monday, February 23, 1959","""We Control Everything That Rolls -- Almost""",Labor
"Tuesday, February 24, 1959","""Boy, We've Really Got 'Em Worried This Time""",Cold War
"Wednesday, February 25, 1959","""Rest Easy, Sire -- There Are No Signs Of A Mass Uprising""","Johnson, Lyndon B."
"Thursday, February 26, 1959","""What -- No Calls From The Supreme Court Asking Me To Serve As Counsel?""",Supreme Court
"Friday, February 27, 1959","""Did They Say This Was a Balanced Budget Or a Juggled One?""",Eisenhower Administration
"Sunday, March 1, 1959","""December, January, February, March, April, May -- Here I Come, Ready or Not""",Cold War
"Monday, March 2, 1959","""Uh Huh -- I'm Getting Worried About Inflation Too""",Eisenhower Administration
"Tuesday, March 3, 1959","""Look -- Thinks Are Picking Up""",US Economy
"Wednesday, March 4, 1959","""You've Got To Pull More Of The Load""",Eisenhower Administration
"Thursday, March 5, 1959","""Peace! Separate Peace! Piece By Piece!""",Cold War
"Friday, March 6, 1959",The Good Earth,World Stability
"Sunday, March 8, 1959","""Whoa There, Horsie -- I Say, Whoa!""",Congress
"Monday, March 9, 1959","""Oh, Yes -- Things Are Ticking Right Along""",World Stability
"Tuesday, March 10, 1959","""Look Out For That Ditch!""",Eisenhower Administration
"Wednesday, March 11, 1959","""Really, You're A Mess""",World Stability
"Thursday, March 12, 1959","""-- And In The Next Performance, I Will Negotiate While Drinking A Glass Of Water""",Cold War
"Friday, March 13, 1959","""Aloha""",Statehood
"Sunday, March 15, 1959","""There Must Be Some Way That's More Scientific""",Eisenhower Administration
"Monday, March 16, 1959","""We're Cleverly Fooling The Russians By Acting As If Our Country Were Bankrupt""",Eisenhower Administration
"Tuesday, March 17, 1959","""Gosh, No -- It's Not Mine""",Eisenhower Administration
"Wednesday, March 18, 1959","""Surely You've Heard Of Supply-And-Demand""",Special Interests
"Thursday, March 19, 1959","""I Said Last Year That Things Would Bottom Out""",Eisenhower Administration
"Friday, March 20, 1959","""Okay, I'll Come Down To Escort You Up""",World Stability
"Sunday, March 22, 1959","""Gee -- Maybe Some Day They'll Establish Communication With Us""",Eisenhower Administration
"Monday, March 23, 1959",Painting As A Hobby,Eisenhower Administration
"Tuesday, March 24, 1959","""The Fool! He's Cutting The Wrong End""",Eisenhower Administration
"Wednesday, March 25, 1959","""What Makes You Think We're Trying To Conceal Anything?""",Eisenhower Administration
"Thursday, March 26, 1959",The White Man's Burden,Racism
"Friday, March 27, 1959",The Great Leap Forward,People's Republic of China
"Sunday, March 29, 1959","""Now In This Case, They're All Waiting For A Call""","Presidential Election, 1960"
"Monday, March 30, 1959","""Think We'd Better Lie Low For A While?""",Eisenhower Administration
"Tuesday, March 31, 1959","""Try It On -- I Made It Especially For You""",World Stability
"Wednesday, April 1, 1959",Loss Of False-Face,People's Republic of China
"Thursday, April 2, 1959",Big Game Hunting,Congress
"Friday, April 3, 1959","""Hear! Hear!""",Spain
"Sunday, April 5, 1959","""It's A Great Chance To Get In On The Ground Floor""",Republican Party
"Monday, April 6, 1959",Plowing Contest,Congress
"Tuesday, April 7, 1959","""One More Won't Do Me Any Harm""",Racism
"Wednesday, April 8, 1959","""Prospects For A Summit Meeting Appear Brighter ...""",World Stability
"Thursday, April 9, 1959","""Shall We Turn Up The News Broadcast A Little?""",World Stability
"Friday, April 10, 1959","""Pardner, Some of Those Non-Texans Are Getting Downright Unfriendly""","Johnson, Lyndon B."
"Sunday, April 12, 1959","""Do You Have To Bring Up Technicalities?""",Eisenhower Administration
"Monday, April 13, 1959","""Ah, Yes -- We're Think About Considering A Possible Inquiry""",Congress
"Tuesday, April 14, 1959","""Hey -- Look, Fellows -- A Parking Platform""",Eisenhower Administration
"Wednesday, April 15, 1959","""Well, I Guess We're All Ready For 'Em Now""",Cold War
"Thursday, April 16, 1959","""You Can See The Poor Fellow Is A Prisoner""",People's Republic of China
"Friday, April 17, 1959","""Can You Afford $25 A Head For Us?""",Eisenhower Administration
"Saturday, April 18, 1959","""Tell You What -- Let's Offer To Guarantee As Much Democracy As They Have In The Capital Of The U.S.""",Cold War
"Sunday, April 19, 1959","""We Probably Won't Know Till the Last Minute Who We'll Put in Orbit""","Presidential Election, 1960"
"Monday, April 20, 1959","""I Don't Want To Seem Like An Alarmist, But --""",Eisenhower Administration
"Tuesday, April 21, 1959","""Aren't You Big Enough To Have A Key Of Your Own?""",Congress
"Wednesday, April 22, 1959","""He's Stepping Into A Tough Spot Here -- He Looks Around At The Men On Base, Gets The Sign, And --""",Cold War
"Thursday, April 23, 1959","""You Know, I Don't Think The U.N. Ever Replied To Our Ultimatum Last Year""",Daughters of the American Revolution
"Friday, April 24, 1959","""You Think There's Still Hope?""",World Stability
"Sunday, April 26, 1959","""How Is It You Don't Understand Us?""",Cold War
"Monday, April 27, 1959","""The Door Is Always Open""",Eisenhower Administration
"Tuesday, April 28, 1959","Poplarville, Mississippi, U.S.A., 1959",White on Black Violence
"Wednesday, April 29, 1959",The Supreme Commands,Cold War
"Thursday, April 30, 1959",[Untitled],Eisenhower Administration
"Friday, May 1, 1959","""If He Ain't Running, He's Sure Doing Some Fancy Riding""","Presidential Election, 1960"
"Sunday, May 3, 1959","""It's Too Nice A Suit To Alter -- Just Scrunch Down And Walk Like A Cripple""",Eisenhower Administration
"Monday, May 4, 1959","""What Are These Crazy Proposals To Spend Money On The Common People?""",Congress
"Tuesday, May 5, 1959","""A Bigger Boat Would Be Too Expensive""",Eisenhower Administration
"Wednesday, May 6, 1959","""Very Good, Sir -- You Have Just Time To Change For The Wage Negotiating Conference""",Special Interests
"Thursday, May 7, 1959","""Well -- Ha Ha -- None Of Us Is Perfect""",Eisenhower Administration
"Friday, May 8, 1959","""Some Of You Still Seem To Have The Old-Fashioned Idea That We're Supposed To Deliver The Mail""",United States Postal Service
"Sunday, May 10, 1959","""Ha Ha -- We're Still Ahead of Them""",Cold War
"Monday, May 11, 1959","""Welcome To Geneva""",Cold War
"Tuesday, May 12, 1959","""We Want To Protect You Against The Possibility That Criminals Might Hide In Here""",Congress
"Wednesday, May 13, 1959","""What's All The Fuss About A Little Carpeting For Senators In Washington?""","Presidential Election, 1960"
"Thursday, May 14, 1959",38th Parallel,World Stability
"Friday, May 15, 1959","""I Don't Know How I Happened To Get Bottled Up In The First Place""",Eisenhower Administration
"Sunday, May 17, 1959","""He Really Has A Summit Complex, Doesn't He?""",Cold War
"Monday, May 18, 1959","""Look -- I'm Ahead""",Eisenhower Administration
"Tuesday, May 19, 1959","""Maybe We Didn't Wrap It Right""",Cold War
"Wednesday, May 20, 1959","""This Has Got To Be Decided By Us Germans""",Cold War
"Thursday, May 21, 1959","""Nah, I Didn't Say Nothin' About Startin' No Rumble""",Labor
"Friday, May 22, 1959","""Chief, A Few Tons Of Bricks Have Landed On Us""",Eisenhower Administration
"Sunday, May 24, 1959","""Say, You Have Quite A Green Thumb""",Senate
"Monday, May 25, 1959","""Nobody's Shoving, Chum""",Eisenhower Administration
"Tuesday, May 26, 1959",[Untitled],White on Black Violence
"Wednesday, May 27, 1959","""We May Have To Double Our Good Words On This Subject""",Eisenhower Administration
"Thursday, May 28, 1959","""Ready, Aim --""",Civil Rights
"Friday, May 29, 1959",[Untitled],Baseball
"Sunday, May 31, 1959","""It's A New Standard Of Measure -- You Know, In Case Strauss Should Be Confirmed""",Eisenhower Administration
"Monday, June 1, 1959","""Nobody Ever Got Hit By A Planet""","Presidential Election, 1960"
"Tuesday, June 2, 1959","""How Much More Do We Put Into It?""",Cold War
"Wednesday, June 3, 1959","""Oh Boy -- Wait Till They Discover 'Black Beauty'""",Racism
"Thursday, June 4, 1959","""And Why, Pray Tell, Do You Want To Stop Me?""",Eisenhower Administration
"Friday, June 5, 1959","""The Winner And Still Champ --""",Eisenhower Administration
"Sunday, June 7, 1959","""I'm More Economical Than You Are""",Eisenhower Administration
"Monday, June 8, 1959","""Say, If We Don't Get Started Pretty Soon --""",World Stability
"Tuesday, June 9, 1959","""Oh, By The Way, Can You Let Me Have An Extra Few Billions On The Debt Ceiling?""",Eisenhower Administration
"Wednesday, June 10, 1959","""And With Any Luck We Ought To Be Able To Get It Across Town In A Day Or Two""",United States Postal Service
"Thursday, June 11, 1959","""Stop Endangering The Peace -- Hand Over The Shirts And Pants""",Cold War
"Friday, June 12, 1959","""It's Getting So That People Don't Show Any Respect For A Witch Doctorate Any More""",Senate
"Sunday, June 14, 1959","""I Think I'd Rather Talk To The Wheat Farmers""",Eisenhower Administration
"Monday, June 15, 1959","""What's The Master Plan On Short-Range Interservice Ballistic Missiles?""",Eisenhower Administration
"Tuesday, June 16, 1959","""Stand Back -- It May Be A Book""",United States Postal Service
"Wednesday, June 17, 1959","""What Are You Trying To Do, Blow Up The Place?""",Cold War
"Thursday, June 18, 1959","""If We Put In A Light Bulb, Some Spy Might Be Able To See What You're Doing""",Eisenhower Administration
"Friday, June 19, 1959","""Say, I Just Thought Of Something -- What Do We Do If They DON'T Strike?""",Special Interests
"Sunday, June 21, 1959","""Think He'll Thaw Out And Come To Life Again?""",Cold War
"Monday, June 22, 1959","""Good Joke On You -- You Can't Knock Me Down""",Eisenhower Administration
"Tuesday, June 23, 1959","""Be A Good Fellow, Now -- Don't Be Difficult""",Soviet Union
"Wednesday, June 24, 1959",Kamikaze Pilot,Congress
"Thursday, June 25, 1959","""Judge, I'd Like A Separation""",Senate
"Friday, June 26, 1959","""Wait -- Let's Think About This A Minute""",Cold War
"Sunday, June 28, 1959","""We're Not Gonna Be Stampeded""",Congress
"Monday, June 29, 1959","""Don't Be Silly -- We Never Need Money That Much""",Eisenhower Administration
"Tuesday, June 30, 1959","""By A Coincidence, Our Group Has Arrived At The Same Conclusions""",Eisenhower Administration
"Wednesday, July 1, 1959","""Those Guys Have Funny Ideas About Americanism -- They Hit You From The Front""",Supreme Court
"Thursday, July 2, 1959","""Ah, Yes -- We Have Many Things In Common""",Cold War
"Friday, July 3, 1959","""Peace, Brother -- Don't Start Anything""",Cold War
"Sunday, July 5, 1959",O'er The Land Of The FreeAnd The Home Of The Resident Colonial Subjects,Statehood
"Monday, July 6, 1959","""Just Half A Gallon -- We're Saving Money""",Eisenhower Administration
"Tuesday, July 7, 1959","""They're Not Good Enough For You, Dear. I'm Waiting Till They Invent One That Does Everything""",Congress
"Wednesday, July 8, 1959","""I Want To Save You From Inflation And Extravagance""",Eisenhower Administration
"Thursday, July 9, 1959","""I Can't Get Over It -- And He's A Fellow Texan Too""",Eisenhower Administration
"Friday, July 10, 1959","""Listen -- Stereophonic Sound""",Cold War
"Sunday, July 12, 1959","""Merrily We Roll Along""",Labor
"Monday, July 13, 1959","""What's the Hurry -- His Term Hasn't Expired Yet""",Congress
"Tuesday, July 14, 1959","""Boy, What A Return""",Racism
"Wednesday, July 15, 1959","""Who Care If It's No Good? It Doesn't Cost Any Money""",Senate
"Thursday, July 16, 1959","""Goodness, She's Practically Showing Her Limbs""","Presidential Election, 1960"
"Friday, July 17, 1959","""These Guys Aren't Even Members Of Congress, Much Less Texans""",Congress
"Saturday, July 18, 1959",[Untitled],In Memoriam
"Sunday, July 19, 1959","""Oh, Not You Again!""",Eisenhower Administration
"Monday, July 20, 1959","""We're Having Trouble With This Nose Cone, Chief""",Eisenhower Administration
"Tuesday, July 21, 1959","""Don't Worry, Boss. They Didn't Like Hitler Either""",Soviet Union
"Wednesday, July 22, 1959","""Out of This Nettle, Danger, We Pluck This Flower, Safety""",Cold War
"Thursday, July 23, 1959","""It Seems To Be Kind Of A Favorite Theme""",Eisenhower Administration
"Friday, July 24, 1959","""Well, Now To Find Some Facts""",Eisenhower Administration
"Sunday, July 26, 1959","""Friend, I Want You to Be Friendly to an Old Friend Of Mine, If You Know What I Mean""",Special Interests
"Monday, July 27, 1959",Latest Victory In The Battle Of The Budget,Eisenhower Administration
"Tuesday, July 28, 1959","""You Obviously Recognize Our Superior Facilities For Putting Things Into Orbit""",Cold War
"Wednesday, July 29, 1959",Fact For Today,Eisenhower Administration
"Thursday, July 30, 1959","""Quiet! I'm Busy""",Civil Rights
"Friday, July 31, 1959","""By Golly, I Didn't Think I Could Swing It""",Statehood
"Sunday, August 2, 1959","""Say, What Ever Happened To This Quiz Program?""",Congress
"Monday, August 3, 1959","""Hey -- the Sands Are Running Out""",Congress
"Wednesday, August 5, 1959","""Next Month? Why Yes, I Think I Might Be Able To --""",Cold War
"Thursday, August 6, 1959","""Well, There We Were In This Model Kitchen, And --""",Eisenhower Administration
"Friday, August 7, 1959","""We've Decided To Try Underriding It""",Eisenhower Administration
